"nama","jenis","deskripsi","cara_penanganan"
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kerajinan Miniatur Rumah,Kardus bekas dapat dijadikan bahan baku untuk membuat kerajinan miniatur rumah dengan berbagai desain dan ukuran."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kerajinan Organizer,Kardus bekas dapat diubah menjadi organizer atau laci penyimpanan untuk perkakas atau barang-barang kecil lainnya."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kerajinan Topeng,Kardus bekas dapat digunakan untuk membuat topeng yang kreatif untuk keperluan kostum atau hiburan."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kerajinan Model Bangunan,Kardus bekas dapat dijadikan bahan untuk membuat model bangunan atau struktur untuk proyek sekolah atau tugas."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kerajinan Kotak Kado,Kardus bekas dapat diubah menjadi kotak kado yang unik dengan dekorasi kreatif dan ramah lingkungan."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kertas Daur Ulang,Kardus dapat didaur ulang menjadi kertas daur ulang yang kemudian dapat digunakan kembali untuk mencetak kemasan atau kertas lainnya."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kertas Hias,Kertas daur ulang dapat digunakan untuk membuat kertas hias dengan berbagai desain dan ukuran untuk proyek seni atau dekorasi."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kemasan Kado,Kertas daur ulang dapat digunakan sebagai bahan untuk membuat kemasan kado yang ramah lingkungan dan menarik."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Kartu Ucapan,Kertas daur ulang dapat dijadikan bahan untuk membuat kartu ucapan yang kreatif dan unik."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Buku Daur Ulang,Kertas daur ulang dapat didaur ulang menjadi bahan baku untuk membuat buku daur ulang kertas hias dengan berbagai desain dan ukuran."
"karton","anorganik","bahan kemasan yang terbuat dari kertas tebal yang sering digunakan untuk membuat kotak dan kemasan.","Barang Bekas,Kardus yang sudah tidak terpakai dapat dijual ke pengepul barang bekas atau toko barang bekas untuk digunakan kembali atau didaur ulang oleh orang lain."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Lampu Hias,Kaca bekas dapat digunakan sebagai bahan baku untuk membuat lampu hias dengan berbagai desain menarik yang dapat digunakan sebagai dekorasi di rumah atau kantor."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Lukisan Kaca,Kaca bekas dapat diubah menjadi lukisan kaca yang indah dengan menggunakan cat kaca dan teknik dekoratif."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Miniatur Kebun Kaca,Kaca bekas dapat dijadikan bahan untuk membuat miniatur kebun kaca dengan berbagai tanaman hias kecil."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Hiasan Dinding,Kaca bekas dapat diubah menjadi hiasan dinding dengan menggabungkan potongan-potongan kaca menjadi bentuk atau pola yang menarik."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Topeng Kaca,Kaca bekas dapat dijadikan bahan untuk membuat topeng kaca yang unik dengan berbagai motif dan warna."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Botol Kaca,Botol kaca bekas dapat didaur ulang menjadi botol kaca baru atau diubah menjadi berbagai produk kaca lainnya."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Gelas Kaca,Botol kaca bekas dapat diubah menjadi gelas kaca dengan proses peleburan dan pembentukan kembali."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Miniatur Vas,Kaca bekas dapat diubah menjadi miniatur vas dengan berbagai bentuk dan ukuran yang cocok sebagai dekorasi meja atau rak."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Piring Kaca,Kaca bekas dapat diubah menjadi piring kaca dengan proses peleburan dan pembentukan kembali untuk keperluan makan atau dekorasi."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Lampu Tidur,Botol kaca bekas dapat diubah menjadi lampu tidur dengan menambahkan lampu LED di dalamnya untuk cahaya yang lembut dan menyenangkan."
"kaca","anorganik","bahan bening dan keras yang dibuat dari  lelehan pasir silika yang dipanaskan.","Lainnya,Bahan Baku Industri,Kaca yang terkontaminasi atau pecah bisa dijual ke pabrik kaca untuk digunakan sebagai bahan baku dalam pembuatan kaca baru atau produk kaca lainnya."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Patung Logam,Logam bekas seperti kaleng atau tutup botol dapat digunakan sebagai bahan baku untuk membuat patung logam yang unik dan artistik."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Aksesoris Logam,Logam bekas dapat diubah menjadi aksesoris dengan proses pemotongan dan penggabungan."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Pot Tanaman Logam,Logam bekas dapat dijadikan bahan untuk membuat pot tanaman logam dengan berbagai desain dan ukuran untuk hiasan taman atau halaman."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Miniatur Kendaran Logam,Logam bekas dapat dijadikan bahan untuk membuat miniatur kendaraan dengan detail yang presisi."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Karya Seni Logam,Logam bekas dapat dijadikan bahan untuk membuat karya seni seperti lukisan atau instalasi seni dengan teknik pengelasan atau penempaan."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Bahan Baku Industri,Logam bekas dapat didaur ulang menjadi bahan baku untuk industri manufaktur seperti otomotif atau konstruksi."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Alat Dapur,Logam bekas dapat diubah menjadi alat dapur dengan proses peleburan dan pembentukan kembali."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Alat Tulis,Logam bekas dapat dijadikan bahan untuk membuat alat tulis dengan proses pemotongan dan pembentukan."
"logam","anorganik","material yang biasanya keras tak tembus cahaya, berkilau, dan memiliki konduktivitas listrik dan panas.","Perhiasan,Logam bekas dapat diubah menjadi perhiasan dengan proses pembentukan dan penyelesaian permukaan."
